,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,clusters,cluster
0,80.0,2,129,2,22,0,pink
1,95.0,2,53,2,52,0,pink
2,99.0,3,101,1,4,0,pink
3,52.0,3,34,1,0,0,pink
4,55.0,2,496,1,162,0,pink
5,65.0,3,64,1,0,0,pink
6,49.0,1,215,2,0,0,pink
7,35.0,2,50,1,341,2,dark purple
8,50.0,1,0,1,365,2,dark purple
9,82.0,1,163,2,0,0,pink
10,78.0,2,32,1,269,2,dark purple
11,59.0,2,16,2,351,2,dark purple
12,160.0,3,360,1,0,0,pink
13,25.0,30,13,1,115,0,pink
14,51.0,2,180,2,316,2,dark purple
15,30.0,2,150,1,68,0,pink
16,78.0,1,7,6,346,2,dark purple
17,79.0,1,12,6,347,2,dark purple
18,70.0,1,72,6,348,2,dark purple
19,56.0,1,171,6,321,2,dark purple
20,65.0,2,20,1,0,0,pink
21,81.0,3,65,1,173,0,pink
22,51.0,2,178,2,176,0,pink
23,39.0,2,74,2,163,0,pink
24,45.0,30,64,1,116,0,pink
25,60.0,7,87,2,80,0,pink
26,50.0,1,11,2,327,2,dark purple
27,29.0,4,22,2,239,2,dark purple
28,88.0,2,203,1,320,2,dark purple
29,61.0,3,189,2,236,2,dark purple
30,95.0,7,15,2,65,0,pink
31,42.0,4,98,2,54,0,pink
32,65.0,5,68,1,329,2,dark purple
33,49.0,2,94,2,99,0,pink
34,50.0,180,12,1,295,2,dark purple
35,80.0,1,342,1,317,2,dark purple
36,70.0,6,2,1,9,0,pink
37,25.0,1,33,4,0,0,pink
38,32.0,3,244,1,262,2,dark purple
39,85.0,1,42,1,292,2,dark purple
40,108.0,30,1,2,84,0,pink
41,52.0,1,45,1,143,0,pink
42,138.0,90,0,2,232,2,dark purple
43,108.0,2,29,2,148,0,pink
44,28.0,12,14,6,269,2,dark purple
45,33.0,12,17,6,269,2,dark purple
46,29.0,15,17,6,232,2,dark purple
47,26.0,45,6,6,121,0,pink
48,46.0,1,191,1,350,2,dark purple
49,35.0,3,229,2,137,0,pink
50,35.0,3,76,2,139,0,pink
51,112.0,1,409,11,243,2,dark purple
52,63.0,1,364,11,269,2,dark purple
53,67.0,1,547,11,268,2,dark purple
54,88.0,1,507,11,229,2,dark purple
55,93.0,1,613,11,178,2,dark purple
56,75.0,10,40,1,8,0,pink
57,79.0,6,74,1,263,2,dark purple
58,53.0,2,64,2,239,2,dark purple
59,103.0,1,19,1,115,0,pink
60,49.0,2,153,1,45,0,pink
61,91.0,7,0,1,0,0,pink
62,38.0,2,83,1,292,2,dark purple
63,71.0,1,11,1,365,2,dark purple
64,359.0,3,57,1,343,2,dark purple
65,129.0,5,9,1,0,0,pink
66,29.0,7,85,2,81,0,pink
67,49.0,110,47,2,0,0,pink
68,150.0,2,33,1,363,2,dark purple
69,40.0,90,36,3,0,0,pink
70,65.0,7,22,1,334,2,dark purple
71,95.0,2,14,1,365,2,dark purple
72,60.0,2,157,1,357,2,dark purple
73,208.0,2,366,1,31,0,pink
74,75.0,2,46,1,350,2,dark purple
75,50.0,3,59,1,0,0,pink
76,65.0,5,4,1,348,2,dark purple
77,210.0,3,33,6,349,2,dark purple
78,120.0,1,2,1,365,2,dark purple
79,135.0,2,63,1,325,2,dark purple
80,80.0,28,0,4,51,0,pink
81,69.0,30,49,1,244,2,dark purple
82,75.0,10,65,1,0,0,pink
83,90.0,360,0,1,365,2,dark purple
84,49.0,10,20,2,106,0,pink
85,134.0,2,32,1,206,2,dark purple
