,Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
0,0,97945,Deluxw-Apartm. with roof terrace,517685,Angelika,Hadern,48.11492,11.48954,Entire home/apt,80.0,2,129,2,22,0,Middle price,Short term,Commercial host
1,1,114695,Apartment Munich/East with sundeck,581737,Stephan,Berg am Laim,48.12071,11.63758,Entire home/apt,95.0,2,53,2,52,0,Middle price,Short term,Commercial host
2,2,127383,City apartment next to Pinakothek,630556,Sonja,Maxvorstadt,48.15199,11.56482,Entire home/apt,99.0,3,101,1,4,8,Middle price,Short term,Private host
3,3,159634,"Fancy, bright central roof top flat and homeoffice",765694,Sanna,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,52.0,3,34,1,0,0,Low price,Short term,Private host
4,4,170154,"Own floor & bath, parking & breakfast",108297,Alex,Sendling-Westpark,48.10814,11.52733,Private room,55.0,2,496,1,162,18,Low price,Medium term,Private host
5,5,170815,Your own flat near central station!,814793,Inge,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65.0,3,64,1,0,0,Low price,Short term,Private host
6,6,172672,Cozy guest room in high-end flat.,823913,Karin,Schwabing-West,48.16341,11.56366,Private room,49.0,1,215,2,0,1,Low price,Short term,Commercial host
7,7,179640,GREEN OASIS near center & tradefair,860212,Ingrid,Bogenhausen,48.14453,11.63769,Private room,35.0,2,50,1,341,0,Low price,Long term,Private host
8,8,183634,munich all-inclusive camping,880705,Toby,Allach-Untermenzing,48.17532,11.44526,Shared room,50.0,1,0,1,365,0,Low price,Long term,Private host
9,9,186596,2-room-flat in central location,910486,Hatice,Au-Haidhausen,48.12008,11.57725,Shared room,82.0,1,163,2,0,0,Middle price,Short term,Commercial host
10,10,187359,Charming apartment near City Center,901209,Christian,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,78.0,2,32,1,269,0,Low price,Long term,Private host
11,11,187386,"bedroom, with 2 single beds and tv",901512,Janine,Berg am Laim,48.12031,11.62787,Private room,59.0,2,16,2,351,0,Low price,Long term,Commercial host
12,12,189551,Beautiful Attic Floor Dwelling,914449,Peter,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,160.0,3,360,1,0,10,Middle price,Short term,Private host
13,13,189582,CLASSY APARTMENT in Munich,914564,Christiane,Bogenhausen,48.15556,11.64903,Private room,25.0,30,13,1,115,0,Low price,Medium term,Private host
14,14,189606,"Nice apartment near river ""Isar""",914691,Klaus,Au-Haidhausen,48.12543,11.58042,Entire home/apt,51.0,2,180,2,316,23,Low price,Long term,Commercial host
15,15,190383,WOW! direct binding to trade fairs,919644,Christine,Berg am Laim,48.12424,11.63186,Private room,30.0,2,150,1,68,0,Low price,Short term,Private host
16,16,190529,Beautiful room Glockenbacharea,919917,Werner,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,78.0,1,7,6,346,0,Low price,Long term,Commercial host
17,17,190564,Lovely room in Glockenbacharea,919917,Werner,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,79.0,1,12,6,347,0,Low price,Long term,Commercial host
