,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
0,Hadern,48.11492,11.48954,Entire home/apt,80.0,2,129,2,22,0,Middle price,Short term,Commercial host
1,Berg am Laim,48.12071,11.63758,Entire home/apt,95.0,2,53,2,52,0,Middle price,Short term,Commercial host
2,Maxvorstadt,48.15199,11.56482,Entire home/apt,99.0,3,101,1,4,8,Middle price,Short term,Private host
3,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,52.0,3,34,1,0,0,Low price,Short term,Private host
4,Sendling-Westpark,48.10814,11.52733,Private room,55.0,2,496,1,162,18,Low price,Medium term,Private host
5,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65.0,3,64,1,0,0,Low price,Short term,Private host
6,Schwabing-West,48.16341,11.56366,Private room,49.0,1,215,2,0,1,Low price,Short term,Commercial host
7,Bogenhausen,48.14453,11.63769,Private room,35.0,2,50,1,341,0,Low price,Long term,Private host
8,Allach-Untermenzing,48.17532,11.44526,Shared room,50.0,1,0,1,365,0,Low price,Long term,Private host
9,Au-Haidhausen,48.12008,11.57725,Shared room,82.0,1,163,2,0,0,Middle price,Short term,Commercial host
10,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,78.0,2,32,1,269,0,Low price,Long term,Private host
11,Berg am Laim,48.12031,11.62787,Private room,59.0,2,16,2,351,0,Low price,Long term,Commercial host
12,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,160.0,3,360,1,0,10,Middle price,Short term,Private host
13,Bogenhausen,48.15556,11.64903,Private room,25.0,30,13,1,115,0,Low price,Medium term,Private host
14,Au-Haidhausen,48.12543,11.58042,Entire home/apt,51.0,2,180,2,316,23,Low price,Long term,Commercial host
15,Berg am Laim,48.12424,11.63186,Private room,30.0,2,150,1,68,0,Low price,Short term,Private host
16,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,78.0,1,7,6,346,0,Low price,Long term,Commercial host
17,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,79.0,1,12,6,347,0,Low price,Long term,Commercial host
18,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,70.0,1,72,6,348,1,Low price,Long term,Commercial host
19,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,56.0,1,171,6,321,3,Low price,Long term,Commercial host
20,Au-Haidhausen,48.12204,11.58064,Entire home/apt,65.0,2,20,1,0,0,Low price,Short term,Private host
21,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Shared room,81.0,3,65,1,173,0,Middle price,Medium term,Private host
22,Maxvorstadt,48.15527,11.5717,Private room,51.0,2,178,2,176,8,Low price,Medium term,Commercial host
23,Maxvorstadt,48.15517,11.5693,Private room,39.0,2,74,2,163,10,Low price,Medium term,Commercial host
24,Schwabing-West,48.16438,11.56853,Private room,45.0,30,64,1,116,2,Low price,Medium term,Private host
25,Bogenhausen,48.13698,11.61597,Entire home/apt,60.0,7,87,2,80,0,Low price,Short term,Commercial host
26,Au-Haidhausen,48.13656,11.61501,Private room,50.0,1,11,2,327,0,Low price,Long term,Commercial host
27,Feldmoching-Hasenbergl,48.19459,11.53297,Private room,29.0,4,22,2,239,8,Low price,Long term,Commercial host
28,Ramersdorf-Perlach,48.10026,11.6068,Entire home/apt,88.0,2,203,1,320,22,Middle price,Long term,Private host
29,Ludwigsvorstadt-Isarvorstadt,48.12279,11.56028,Private room,61.0,3,189,2,236,15,Low price,Long term,Commercial host
30,Ludwigsvorstadt-Isarvorstadt,48.12103,11.5605,Entire home/apt,95.0,7,15,2,65,1,Middle price,Short term,Commercial host
31,Ludwigsvorstadt-Isarvorstadt,48.13198,11.57579,Private room,42.0,4,98,2,54,3,Low price,Short term,Commercial host
